Income,Limit,Rating,Cards,Age,Education,Gender,Married,Ethnicity,Balance
2857,4712,340,2,55,14, Male,Yes,Caucasian,4611.41
2078,3536,270,2,61,13,Female,No,African American,2419.27
3323,4776,378,4,61,13, Male,Yes,Caucasian,4438.47
3268,4160,320,4,63,11,Female,Yes,Caucasian,3833.34
2741,5380,420,5,58,10, Male,Yes,Asian,3660.9
2686,4307,352,2,56,15, Male,Yes,African American,3437.15
3786,3526,289,3,60,11,Female,No,Caucasian,5078.98
929,3388,266,4,66,13,Female,Yes,Asian,1703.24
1862,2278,187,1,57,15, Male,Yes,Caucasian,2511.34
1484,3189,263,3,55,14, Male,No,Asian,1832.91
4628,4100,307,3,55,15, Male,Yes,Caucasian,8887.39
1841,5395,392,3,49,15, Male,Yes,Caucasian,2223.13
2323,5096,380,2,59,17, Male,Yes,Caucasian,2359.31
1540,7582,531,2,58,13, Male,No,Caucasian,1723.97
4843,2532,205,1,61,17, Male,Yes,Asian,10178.37
667,4941,366,1,55,15, Male,Yes,Caucasian,510.08
718,3807,301,4,61,8,Female,Yes,Asian,518.98
1589,5289,410,2,59,13,Female,Yes,Caucasian,2055.31
1202,1568,162,1,60,12, Male,Yes,African American,1281.1
4586,5466,413,4,64,11, Male,Yes,Asian,9555.1
1110,7569,564,3,60,14,Female,Yes,Caucasian,1240.09
1574,8047,569,4,64,14, Male,No,Caucasian,1944.28
455,3326,268,4,52,14, Male,No,Caucasian,159.29
5454,4964,365,1,57,7,Female,Yes,Caucasian,10409.61
2722,8603,621,3,56,14,Female,No,Caucasian,3564.57
5472,5303,377,1,59,15, Male,No,Caucasian,12974.95
2860,2880,214,2,55,10, Male,No,African American,3663.11
638,1134,128,1,60,10, Male,Yes,African American,356.73
3162,8244,579,3,54,17, Male,Yes,Asian,4471.06
2136,3780,230,2,55,13,Female,Yes,Asian,2448.05
1355,2430,191,1,54,15,Female,Yes,Asian,1524.71
3524,2959,231,2,51,17,Female,No,African American,5186.46
988,7659,538,2,57,9, Male,Yes,African American,1246.49
1517,4229,337,3,58,13,Female,Yes,Caucasian,2393.01
1263,4471,344,3,63,14, Male,Yes,Asian,1755.46
4381,10278,707,1,49,11, Male,No,Asian,9658.32
1488,3000,235,2,54,13, Male,No,Asian,1466.9
1084,6827,482,2,57,15,Female,No,Caucasian,1854.26
468,2762,215,3,59,15, Male,No,Asian,817.51
1905,5309,397,3,63,16, Male,No,Asian,1371.79
1063,7582,531,2,55,10, Male,No,Caucasian,1129.86
3630,5245,383,2,62,15, Male,No,Asian,6097.21
5288,1852,243,1,53,11,Female,No,African American,9432.72
1056,1870,221,1,55,16, Male,No,African American,1627.69
4914,4336,339,1,59,14, Male,Yes,Caucasian,11786.04
2535,5443,407,2,61,16, Male,Yes,African American,3020.97
3059,6196,450,6,64,16,Female,No,Caucasian,3929.48
2464,2450,180,1,48,14, Male,No,Caucasian,3880.73
2546,3271,250,2,56,15,Female,Yes,Asian,3358.6
550,3673,297,3,57,15,Female,Yes,Caucasian,1035.93
1735,8760,633,5,57,12,Female,No,African American,2371.7
2544,3461,279,3,55,15, Male,Yes,African American,3374.21
3338,4049,296,1,55,14,Female,Yes,Caucasian,4998.46
2619,3690,299,2,57,14, Male,No,Caucasian,2860.9
3407,2860,235,2,56,15,Female,No,Asian,5153.53
3387,5835,452,3,49,9,Female,Yes,Asian,5440
3370,1402,132,1,57,15,Female,Yes,African American,4389.92
5224,6819,491,2,60,16,Female,Yes,African American,9531.12
766,3089,254,2,58,11,Female,No,Caucasian,1130.16
4625,4307,352,4,61,16, Male,Yes,Asian,9347.82
787,6135,466,4,57,14, Male,No,Caucasian,262.85
3671,3388,224,2,53,16,Female,No,African American,4960.42
4509,2252,205,1,52,13, Male,Yes,Asian,9841.88
4654,1870,260,1,53,16, Male,No,African American,10542.02
3559,1924,232,1,46,9,Female,Yes,Asian,5092.19
1275,4831,353,3,51,14,Female,Yes,Caucasian,1728.28
4472,2558,220,2,59,14,Female,No,Caucasian,7356.82
1308,6045,459,2,53,16,Female,Yes,African American,986.47
880,5319,377,2,53,17,Female,No,African American,741.45
1821,3526,289,3,64,14,Female,No,Caucasian,1548.5
3185,1501,150,1,58,16, Male,Yes,African American,5158.14
2270,2586,229,2,56,19, Male,Yes,African American,2896.37
1445,3480,281,2,58,13, Male,Yes,Caucasian,1949.77
2816,4221,304,2,64,16, Male,No,African American,3612.05
218,3510,225,2,64,15,Female,Yes,Asian,417.48
2010,3500,228,2,57,16,Female,No,African American,3046.97
635,2748,228,2,61,16, Male,Yes,Caucasian,208.55
4141,7402,538,2,58,14,Female,Yes,Asian,7319.2
3667,3526,289,3,59,13,Female,No,Caucasian,4785.64
3886,3954,318,4,56,14, Male,Yes,Caucasian,7330.02
1398,1410,137,1,63,16, Male,No,African American,2221.97
2087,4159,310,3,59,15, Male,Yes,Asian,1907.14
1544,5227,386,6,63,13, Male,Yes,Caucasian,1380.56
2958,4171,321,5,56,11,Female,Yes,Caucasian,4168.9
2074,10384,728,3,61,16, Male,No,Caucasian,2956.41
3665,7100,503,2,58,18, Male,No,Caucasian,6153.57
1613,2963,241,2,59,14,Female,No,African American,2152.76
3990,1924,230,1,57,15,Female,Yes,Asian,6151.87
2006,1757,231,2,60,19,Female,No,African American,2424.28
3268,2860,235,2,63,17,Female,No,Asian,4811.52
1278,4336,339,1,54,12, Male,Yes,Caucasian,2168.75
1849,5110,371,3,62,11,Female,Yes,Caucasian,2151.98
3309,2860,214,1,56,11, Male,Yes,Caucasian,6070.18
1658,4706,353,6,51,16, Male,No,Asian,1307.74
4656,3625,289,6,58,16,Female,No,Caucasian,7714.35
2489,3409,270,2,55,16,Female,Yes,Caucasian,2149.83
3718,3977,304,2,61,13,Female,No,African American,6463.65
5437,5309,397,3,47,17, Male,No,Caucasian,12019.41
4922,6827,482,2,59,15,Female,No,Caucasian,9631.49
4453,1499,138,1,61,12,Female,Yes,African American,7182.91
983,1349,142,1,55,11, Male,No,African American,1665.41
4820,6396,485,3,60,15,Female,Yes,Caucasian,9263.84
2317,8029,574,2,51,11, Male,Yes,Caucasian,3650.43
4685,2525,200,1,55,12,Female,Yes,African American,8294.79
2860,6127,433,1,61,17, Male,Yes,Caucasian,4755.07
2490,6827,482,2,63,14,Female,No,Caucasian,3656.32
383,4896,387,2,60,12,Female,No,African American,986.03
3294,5274,387,3,57,12,Female,Yes,Asian,4339.5
865,2493,186,1,62,17, Male,Yes,Asian,1087.13
696,10278,707,1,58,16, Male,No,Asian,1481.15
1399,1337,118,1,54,11, Male,Yes,African American,2027.9
2921,2120,181,1,61,16, Male,Yes,African American,5014.24
455,3351,262,2,50,14,Female,Yes,Asian,1269.76
2674,6045,459,2,50,16,Female,Yes,African American,2741.05
3184,7569,564,3,63,15,Female,Yes,Caucasian,4177.91
5214,4612,344,3,58,15, Male,No,Caucasian,11386.03
384,2561,215,2,60,11, Male,Yes,Caucasian,177.5
1098,1349,142,1,60,11, Male,No,African American,1747.34
3153,6378,458,1,61,16,Female,No,Caucasian,4836.73
881,7499,560,5,56,17,Female,No,Caucasian,1297.02
3934,2906,232,2,55,15, Male,No,Caucasian,7518.07
2396,2646,199,1,56,16, Male,Yes,Asian,2398.52
838,3089,254,2,59,14,Female,No,Caucasian,1170.6
4749,5728,435,3,60,11,Female,Yes,Asian,7554.83
2792,6982,518,2,66,12,Female,Yes,Caucasian,4158.8
2637,3293,251,2,55,18, Male,No,Caucasian,4047.16
5026,3969,301,2,62,16, Male,Yes,African American,10560.24
4074,5673,411,4,60,15,Female,Yes,Asian,5640.9
1562,1671,225,2,59,13,Female,No,African American,2097.06
836,2910,236,2,58,13,Female,Yes,Caucasian,1357.36
3544,9504,681,3,58,18,Female,No,Asian,4537.98
5098,3690,299,2,56,17, Male,No,Caucasian,10683.23
1138,8100,581,2,50,12,Female,Yes,Caucasian,1372.83
441,7582,531,2,53,13, Male,No,Caucasian,665.74
4074,10230,721,3,63,16, Male,Yes,Caucasian,8352.14
1608,6645,483,3,51,17,Female,Yes,Asian,2513.17
2428,3850,229,2,47,14,Female,Yes,Caucasian,2935.61
207,3326,268,4,55,16, Male,Yes,Caucasian,94.81
5213,5495,409,1,51,11, Male,No,Caucasian,11347.22
4994,7416,549,3,60,12, Male,No,Asian,12028.25
1660,3683,287,2,58,14, Male,No,African American,1582.63
249,3500,230,2,52,14,Female,Yes,African American,1432.13
811,3254,253,2,55,18,Female,No,Asian,650.95
1194,5565,410,4,57,13,Female,Yes,Caucasian,1380.38
2045,4431,320,2,53,14, Male,Yes,Caucasian,2358.12
2148,3762,287,3,57,14, Male,Yes,Caucasian,2987.66
4293,5137,387,3,49,14, Male,No,African American,8335.4
2396,5140,374,1,57,15, Male,Yes,Caucasian,3436.62
3450,4866,347,1,55,14,Female,No,Caucasian,4210.15
2518,3899,300,4,52,16, Male,No,Caucasian,2281.61
4390,3254,253,2,58,16,Female,No,Asian,6622.2
4750,5758,410,4,64,13, Male,No,Caucasian,9331.4
5164,3976,291,2,60,14, Male,Yes,Caucasian,11697.5
5437,4742,372,7,60,15,Female,Yes,Asian,11390.32
3029,6827,482,2,46,8,Female,No,Caucasian,4671.77
3266,4896,387,3,54,13,Female,No,Caucasian,4634.42
352,4613,344,5,60,10, Male,Yes,Asian,772.46
2365,6378,458,1,56,14,Female,No,Caucasian,3408.26
5495,4543,329,2,50,12, Male,No,Asian,13933.7
4085,2963,241,2,66,18,Female,No,African American,6889.37
2978,5096,380,2,64,16, Male,Yes,Caucasian,3840.93
1282,5013,379,3,60,13,Female,Yes,Caucasian,1308.2
2816,4431,320,2,61,14, Male,Yes,Caucasian,3929.2
1975,3965,292,2,56,11,Female,Yes,Asian,1865.6
3598,5380,420,5,60,15, Male,Yes,Asian,5887.36
1989,1829,232,2,53,14, Male,Yes,African American,1593.18
4628,2450,246,1,53,13,Female,No,African American,8508.09
1452,7499,560,5,50,13,Female,No,Caucasian,1852.82
2970,5767,431,4,61,17, Male,Yes,Asian,3929.06
3032,7818,584,4,61,13, Male,Yes,Caucasian,4021.39
2524,3922,299,2,44,12,Female,Yes,Caucasian,3754.34
4147,3613,278,4,51,11, Male,Yes,Asian,7029.66
821,5441,394,1,57,12, Male,Yes,Caucasian,374.11
2673,3933,287,4,55,13, Male,Yes,Asian,3531.05
4163,5340,376,4,55,11, Male,Yes,Caucasian,9115.03
3291,6645,483,3,62,15,Female,Yes,Asian,5363.92
5095,7100,503,2,58,17, Male,No,Caucasian,11314.26
481,3326,268,4,56,15, Male,No,Caucasian,172.04
2590,2937,223,2,53,17,Female,Yes,African American,3903.61
254,2047,167,1,51,13, Male,Yes,Caucasian,588.79
4556,11589,805,1,55,15,Female,Yes,Caucasian,8130.07
4720,5179,398,2,57,10, Male,Yes,African American,9355.48
1445,5051,372,2,62,12,Female,Yes,African American,2063.14
4801,3899,300,4,55,14, Male,No,Asian,9148.48
1216,3720,228,2,59,13,Female,Yes,Caucasian,1431.78
3834,5101,382,3,57,15,Female,No,African American,6195.6
704,2327,178,1,54,16,Female,Yes,Caucasian,766.94
346,4756,351,2,63,14,Female,Yes,Caucasian,1126.88
4330,4221,304,2,56,14, Male,No,African American,8171.67
1780,3235,268,5,51,13, Male,Yes,Asian,2224.09
4891,5096,380,2,49,15, Male,Yes,Caucasian,10027.48
5213,6922,511,1,47,13, Male,Yes,Caucasian,11784.12
4999,6819,505,4,61,13, Male,Yes,Caucasian,11022.31
3435,2539,188,1,53,15, Male,Yes,Asian,5378.05
2745,3461,264,4,53,12, Male,Yes,Caucasian,3429.78
478,3838,296,5,58,12, Male,No,Asian,722.56
4640,7760,538,3,56,13,Female,No,African American,8884
1120,3480,233,2,57,12,Female,No,Caucasian,1949.85
4673,5343,383,2,54,14, Male,Yes,Asian,9525.91
5471,5524,415,5,55,14,Female,No,Asian,10783.99
2068,2539,188,1,59,14, Male,Yes,Asian,2153.7
1629,2959,231,2,64,13,Female,No,African American,1929.5
5006,6481,462,2,61,11,Female,Yes,Caucasian,9499.05
1828,5199,401,4,50,14, Male,Yes,Asian,1115.76
5023,3977,304,2,50,13,Female,No,African American,10187.27
4198,5533,433,5,52,16,Female,Yes,Asian,6654.36
3013,6457,455,2,62,14,Female,Yes,Caucasian,4418.52
1015,1349,142,1,59,11, Male,No,African American,1708.61
4640,2278,187,1,54,13, Male,Yes,Caucasian,10180.58
5198,5395,392,3,55,9, Male,Yes,Caucasian,12240
5472,3484,282,6,59,13, Male,No,Caucasian,12652.47
5378,5222,370,4,61,12,Female,No,Caucasian,10994.42
3108,4116,314,2,62,16,Female,No,Asian,4459.53
2759,6257,445,1,57,15, Male,Yes,Asian,3216.34
2276,5199,401,4,45,15, Male,Yes,Asian,1868.86
404,2832,249,2,59,15, Male,No,Caucasian,507.06
4435,11300,825,7,58,9,Female,Yes,Asian,7794.25
363,5759,440,3,52,11,Female,No,Caucasian,362.49
4839,6196,450,6,63,14,Female,No,Caucasian,8439.61
3459,3557,263,1,54,9,Female,Yes,Asian,4450.2
4611,4431,320,2,57,11, Male,Yes,Caucasian,9435.74
2470,3965,292,2,58,16,Female,Yes,Asian,2523.56
2649,3230,224,2,55,12, Male,Yes,Caucasian,3282.3
3908,3300,266,5,50,13,Female,No,Caucasian,6292.23
4809,2906,232,2,61,14, Male,No,Caucasian,10736.03
5296,4351,323,2,52,15, Male,Yes,Caucasian,12748.6
4789,2832,249,2,54,13, Male,No,Caucasian,10149.86
4516,3806,309,2,61,14, Male,No,African American,9149.58
4521,4632,355,1,58,16, Male,Yes,Caucasian,9284.39
493,5441,394,1,53,16, Male,Yes,Caucasian,202.5
2754,3977,304,2,57,12,Female,No,African American,4382.91
2327,4378,339,3,60,15,Female,Yes,Asian,3203.53
3107,1774,243,1,60,15,Female,No,African American,4663.08
465,8494,607,5,55,14, Male,No,Caucasian,343.8
3830,4668,341,2,54,17,Female,No,Asian,5162.35
4143,2120,184,1,54,11,Female,No,Caucasian,5688.81
4518,3976,291,2,56,16, Male,Yes,Caucasian,9101.8
1868,1337,134,1,60,11, Male,Yes,African American,2739.05
3791,7818,584,4,53,14, Male,Yes,Caucasian,6234.94
3144,5140,374,1,65,13, Male,Yes,Caucasian,5186.81
5121,2430,191,1,52,17,Female,Yes,Asian,9412.32
3521,4673,341,2,58,18, Male,No,Asian,5809.82
4324,2120,184,1,59,14,Female,No,Caucasian,6185.79
3275,855,172,1,61,10, Male,Yes,African American,4589.04
4261,7506,536,2,55,13,Female,Yes,Asian,7193.11
1098,3673,297,3,60,14,Female,Yes,Caucasian,1379.28
1244,3461,264,4,56,13, Male,Yes,Caucasian,914.71
3600,1134,139,1,59,10, Male,Yes,African American,6655.58
3700,4897,357,2,51,17, Male,Yes,Caucasian,6871.62
1377,2923,232,2,55,13, Male,Yes,African American,832.85
2938,4543,329,2,53,13, Male,No,Asian,4918.08
2026,2531,195,1,61,15,Female,Yes,Caucasian,1931.38
2251,3100,230,2,62,10, Male,No,Asian,2394.53
1875,1311,138,1,56,10, Male,No,African American,2535.46
1192,2021,167,1,53,9, Male,No,Asian,1217.86
204,3806,309,2,57,16, Male,Yes,African American,412.73
392,2252,205,1,52,10, Male,Yes,Asian,1101.41
4728,3000,235,2,51,9, Male,No,Asian,9989.09
1967,3411,223,2,57,11,Female,No,Caucasian,2671.62
3706,3907,296,3,60,13, Male,Yes,Caucasian,6144.87
1075,3922,299,2,48,12,Female,Yes,Caucasian,1907.76
4371,5758,410,4,54,14, Male,No,Caucasian,7943.41
2842,7416,549,3,58,14, Male,No,Asian,4822.49
4392,2525,200,1,53,15,Female,Yes,African American,7376.59
2605,5101,382,3,63,14,Female,No,African American,3546.76
2350,5101,382,3,56,13,Female,No,African American,3121.28
4340,2308,196,1,56,15, Male,No,Asian,7643.97
682,5352,385,4,58,13,Female,Yes,Caucasian,1024.33
1857,4391,316,2,62,17,Female,No,Caucasian,1461.62
1548,3782,293,2,58,14,Female,No,Caucasian,1651.64
1584,2880,214,2,55,15, Male,No,African American,1273.38
4842,1300,124,1,61,10,Female,No,African American,9319.62
1661,3160,228,2,51,15, Male,No,Asian,1394.54
2517,3536,270,2,58,13,Female,No,African American,3089.08
312,3155,235,2,51,18, Male,Yes,Caucasian,124.24
2802,2168,206,1,58,9, Male,No,African American,4106.19
524,6982,518,2,55,15,Female,Yes,Caucasian,1414.57
3890,2733,210,1,58,12, Male,Yes,Asian,6898.19
3469,6384,448,1,59,13,Female,Yes,Asian,4177.14
3759,1870,254,1,56,13, Male,No,African American,7431.63
4987,3450,231,2,54,11,Female,Yes,Caucasian,8689.91
937,5382,367,1,58,13, Male,No,Asian,1208.1
5431,5145,389,3,54,16,Female,Yes,Asian,11011.81
800,5198,364,2,55,14,Female,No,Asian,932.19
4833,5180,382,3,60,18, Male,Yes,Asian,11112.65
3892,7838,563,2,58,14,Female,No,Caucasian,5802.14
4718,5765,437,3,54,10,Female,No,Asian,8184.84
2458,6090,442,3,57,13, Male,No,Caucasian,2679.7
3086,6637,491,4,64,10, Male,Yes,Caucasian,4265.37
5567,5294,390,4,62,14,Female,No,Caucasian,11930.53
581,6662,508,3,63,12,Female,No,Asian,1300.85
1852,7518,543,2,63,16,Female,No,African American,1929.12
5524,4534,333,2,55,14, Male,No,African American,13148.84
3400,2680,225,2,50,13,Female,Yes,Caucasian,4351.87
478,2021,167,1,59,14, Male,No,Asian,589.99
2729,8244,579,3,54,15, Male,Yes,African American,3361.59
1427,4471,344,3,55,14, Male,Yes,Asian,1895
2467,7838,563,2,61,11,Female,No,Caucasian,2844.37
1630,5614,430,3,58,17,Female,Yes,Caucasian,1721.36
4355,2820,219,1,61,12,Female,Yes,Asian,6521.83
416,9704,694,4,53,13,Female,Yes,Asian,547.5
5199,7518,543,3,56,15,Female,No,African American,9511.89
1720,5429,396,3,59,12,Female,Yes,Caucasian,2044.16
1443,2150,173,1,53,11, Male,No,Caucasian,2088.72
5148,3449,288,3,52,16,Female,Yes,Caucasian,8989.09
3150,6179,459,4,58,16,Female,Yes,Caucasian,3730.69
4779,1160,126,1,55,10, Male,Yes,African American,9699.58
2188,3580,226,2,53,15,Female,Yes,Asian,2175.82
4193,3838,296,5,57,15, Male,No,Asian,8206.82
3858,3480,281,2,53,14, Male,Yes,Caucasian,7496.47
1065,1671,227,2,61,17,Female,No,Asian,1630.21
5409,6340,448,1,54,14, Male,Yes,Caucasian,12366.9
1916,5666,413,4,59,17,Female,Yes,Caucasian,1832.65
4751,6378,458,1,53,14,Female,No,Caucasian,8997.2
1625,5274,387,3,61,15,Female,Yes,Asian,1668.95
3477,2531,195,1,54,14,Female,Yes,Caucasian,4507.49
2611,3954,318,4,57,15, Male,Yes,Caucasian,3869.43
5371,2531,195,1,57,13,Female,Yes,Caucasian,9781.01
1430,3965,292,2,60,17,Female,Yes,Asian,1195.8
3728,906,103,1,55,10, Male,Yes,African American,5968.82
1248,2998,251,2,57,14, Male,No,Caucasian,1826.09
1755,5149,388,5,62,13, Male,Yes,Asian,1300.35
2875,2860,214,1,55,12, Male,Yes,Caucasian,4898.42
724,10748,754,2,53,18, Male,No,Caucasian,1209.02
2281,5308,394,1,57,10,Female,Yes,Asian,2674.8
4847,3806,309,2,62,14, Male,No,African American,10394.44
5319,6645,483,3,53,14,Female,Yes,Asian,11101.21
2045,6784,499,2,58,13,Female,No,African American,2063.03
4595,2780,223,2,49,16,Female,Yes,Caucasian,7460.65
1465,8603,621,3,55,13,Female,No,Caucasian,1738.22
2694,2832,249,2,65,16, Male,No,Caucasian,3636.99
4804,7760,538,3,57,13,Female,No,African American,9357.29
901,4171,321,5,56,14,Female,Yes,Caucasian,1385.4
1845,7167,515,2,61,16,Female,No,Asian,1833.37
2689,6819,491,2,58,16,Female,Yes,African American,3202.38
2428,3683,287,2,62,15, Male,No,African American,2960.26
3104,6033,449,4,58,12, Male,Yes,Caucasian,4847.04
1383,1485,137,1,65,14,Female,No,African American,2227.78
1623,5228,377,3,56,10, Male,No,Caucasian,2332.65
2910,3155,235,2,56,14, Male,Yes,Caucasian,3691.17
2376,3271,250,2,56,18,Female,Yes,Asian,3082.16
3919,5390,418,4,56,17,Female,Yes,Caucasian,5636.55
624,7140,507,2,49,13, Male,Yes,Asian,434.97
2559,3461,264,4,59,15, Male,Yes,Caucasian,3056.29
3496,5184,383,4,53,13, Male,Yes,Asian,5856.46
1358,4116,314,2,52,16,Female,No,Asian,1792.87
255,3520,229,2,57,6,Female,Yes,Caucasian,1099.91
638,7555,547,3,54,14, Male,Yes,Asian,963.68
644,6982,518,2,58,15,Female,Yes,Caucasian,1471.41
2187,2863,223,2,54,15, Male,Yes,Asian,3033.94
4717,3673,297,3,50,12,Female,Yes,Caucasian,8265.47
1148,4640,332,2,62,17, Male,No,Asian,470.36
2982,4569,354,4,59,15, Male,Yes,Asian,4078.66
1462,2860,214,1,58,12, Male,Yes,Caucasian,2194.01
970,3300,266,5,55,14,Female,No,Caucasian,1418.49
4493,7685,534,2,55,12,Female,Yes,Asian,8294.09
554,3461,279,3,56,13, Male,Yes,African American,612.19
3263,2073,175,1,61,12,Female,Yes,Caucasian,5027.68
1654,2748,228,2,54,13, Male,Yes,Caucasian,1267.91
1160,5614,430,3,62,15,Female,Yes,Caucasian,1281.84
2326,8494,607,5,52,16, Male,No,Caucasian,2620.1
1569,4745,339,2,53,17, Male,Yes,African American,1595.6
1429,9156,642,2,53,15,Female,Yes,Asian,2437.53
5082,4160,320,4,57,12,Female,Yes,Caucasian,8574.72
5408,5319,377,3,60,14,Female,No,Asian,9751.55
2163,9824,685,3,52,14, Male,Yes,Asian,2875.9
2245,6982,518,2,59,18,Female,Yes,Caucasian,3173.47
4862,5182,402,3,56,16, Male,Yes,Asian,10362.23
322,1389,149,1,57,15,Female,Yes,African American,1061.66
4358,7871,564,3,66,15, Male,Yes,Caucasian,8603.12
4532,4712,340,2,51,13, Male,Yes,Caucasian,9842.65
